"Category level 1";"Category level 2";"Category level 3";"Category level 4";"Code";"Optional EAN";"Nature of Product authorized";"Mandatory specific data"
"ADULT/EROTIC";"SEXTOYS";"CLEANING - DISINFECTION FOR SEXTOYS";"CLEANING - DISINFECTION FOR SEXTOYS";"0V010H01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"COCKRING";"COCKRING";"0V010301";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"COLLAR - LEASH";"COLLAR - LEASH";"0V010P01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"DILDO- RABBIT - VIBRATOR";"DILDO- RABBIT - VIBRATOR";"0V010C01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"DUCKIE";"DUCKIE";"0V010701";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"EDIBLE ITEMS";"EDIBLE ITEMS";"0V010401";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"ENLARGER - PUMP";"ENLARGER - PUMP";"0V010A01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"EROTIC GAMES";"EROTIC GAMES";"0V010D01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"GIRDLE";"GIRDLE";"0V010B01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"HANDCUFFS - BONDAGE - ROPE";"HANDCUFFS - BONDAGE - ROPE";"0V010G01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"INTIMATE JEWEL";"INTIMATE JEWEL";"0V010R01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"MASK - BLINDFOLD";"MASK - BLINDFOLD";"0V010E01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"MASSAGE PRODUCT - MASSAGE CANDLE";"MASSAGE PRODUCT - MASSAGE CANDLE";"0V010K01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"MEN MASTURBATOR";"MEN MASTURBATOR";"0V010F01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"MUZZLE - BALACLAVA";"MUZZLE - BALACLAVA";"0V010O01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"PLEASURE BOX";"PLEASURE BOX";"0V010801";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"RETRACTOR - SPECULUM";"RETRACTOR - SPECULUM";"0V010S01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"ROD URETHRA";"ROD URETHRA";"0V010N01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"SADOMASOCHISTIC FURNITURE - CAGE - CROSS - CARCAN - SPANKING BENCH";"SADOMASOCHISTIC FURNITURE - CAGE - CROSS - CARCAN - SPANKING BENCH";"0V010Q01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"SENSUAL ACCESSORY";"SENSUAL ACCESSORY";"0V010101";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"SENSUAL COSMETICS";"SENSUAL COSMETICS";"0V010901";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"SEX - INFLATABLE DOLL";"SEX - INFLATABLE DOLL";"0V010J01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"STIMULANT ( EXCEPT CAPSULES AND DIETARY SUPPLEMENTS)";"STIMULANT ( EXCEPT CAPSULES AND DIETARY SUPPLEMENTS)";"0V010L01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"STIMULATOR - PLUG - STRING";"STIMULATOR - PLUG - STRING";"0V010M01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"VIBRANT EGGS";"VIBRANT EGGS";"0V010I01";"No";"Standard";
"ADULT/EROTIC";"SEXTOYS";"WHIP - CROP - BEATER";"WHIP - CROP - BEATER";"0V010201";"No";"Standard";
"ADULT/EROTIC";"SEXUAL CONNOTATION ITEMS";"DECORATIVE OBJECT";"DECORATIVE OBJECT";"0V070501";"No";"Standard";
"ADULT/EROTIC";"SEXUAL CONNOTATION ITEMS";"DISHES";"DISHES";"0V070201";"No";"Standard";
"ADULT/EROTIC";"SEXUAL CONNOTATION ITEMS";"FOOD";"FOOD";"0V070401";"No";"Standard";
"ADULT/EROTIC";"SEXUAL CONNOTATION ITEMS";"FURNITURE";"FURNITURE";"0V070301";"No";"Standard";
"ADULT/EROTIC";"SEXUAL CONNOTATION ITEMS";"JOKES AND HOAXES";"JOKES AND HOAXES";"0V070101";"No";"Standard";
"ADULT/EROTIC";"SEXY LINGERIE";"BATHING TRUNKS";"BATHING TRUNKS";"0V060E01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"BODICE";"BODICE";"0V060401";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"BODY ";"BODY ";"0V060101";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"BOXER -UNDERPANT";"BOXER -UNDERPANT";"0V060301";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"BRA";"BRA";"0V060I01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"COORDINATED LINGERIE";"COORDINATED LINGERIE";"0V060701";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"LEGGING ";"LEGGING ";"0V060D01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"LEGGINGS - GAITERS";"LEGGINGS - GAITERS";"0V060C01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"NIGHTIE - NEGLIGE";"NIGHTIE - NEGLIGE";"0V060F01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"PANTIES - UNDERPANTS";"PANTIES - UNDERPANTS";"0V060A01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"PYJAMAS - NIGHT DRESS ";"PYJAMAS - NIGHT DRESS ";"0V060H01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"SEXY DISGUISE";"SEXY DISGUISE";"0V060901";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"SLIMMING BODY SHAPER - COMBINATION";"SLIMMING BODY SHAPER - COMBINATION";"0V060B01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"SOCKS - KNEE-HIGH SOCKS";"SOCKS - KNEE-HIGH SOCKS";"0V060601";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"STRAPLESS";"STRAPLESS";"0V060201";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"SUSPENDER BELT - GARTER BELT HOLDER";"SUSPENDER BELT - GARTER BELT HOLDER";"0V060G01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"THONG - TANGA";"THONG - TANGA";"0V060J01";"No";"Variant";
"ADULT/EROTIC";"SEXY LINGERIE";"TIGHTS";"TIGHTS";"0V060501";"No";"Variant";
"ADULT/EROTIC";"X-RATED VIDEO GAME";"X-RATED VIDEO GAME";"X-RATED VIDEO GAME";"0V050101";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"ALUMINIUM SHEET FOR CHICHA";"ALUMINIUM SHEET FOR CHICHA";"0R050701";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHARCOAL TONGS";"CHARCOAL TONGS";"0R050901";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA - NARGILEH ITEM";"CHICHA - NARGILEH ITEM";"0R050101";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA BURNER";"CHICHA BURNER";"0R050401";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA CHARCOAL";"CHICHA CHARCOAL";"0R050201";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA PIPES";"CHICHA PIPES";"0R050301";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA SEAL";"CHICHA SEAL";"0R050801";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA TOBACCO POT";"CHICHA TOBACCO POT";"0R050A01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CHICHA VASE";"CHICHA VASE";"0R050B01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"CLEANING OF CHICHA";"PIERRE STEAM";"0R050C01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"FILTER - FILTER TIP FOR CHICHA";"FILTER - FILTER TIP FOR CHICHA";"0R050601";"No";"Standard";
"ARTICLES FOR SMOKERS";"CHICHA - NARGILEH ITEM";"MAINTENANCE OF CHICHA";"MAINTENANCE OF CHICHA";"0R050501";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGAR ACCESSORIES";"CIGAR CABINET";"CIGAR CABINET";"0R020101";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGAR ACCESSORIES";"CIGAR CASE";"CIGAR CASE";"0R020301";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGAR ACCESSORIES";"CIGAR CUTTER";"CIGAR CUTTER";"0R020201";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGAR ACCESSORIES";"CIGAR HUMIDOR";"CIGAR HUMIDOR";"0R020401";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"ASHTRAY";"ASHTRAY";"0R010B01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"CIGARETTE CASE";"CIGARETTE CASE";"0R010501";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"CIGARETTE FILTER";"CIGARETTE FILTER";"0R010201";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"CIGARETTE HOLDER";"CIGARETTE HOLDER";"0R010601";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"CIGARETTE TUBE";"CIGARETTE TUBE";"0R010301";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"LIGHTER - CIGAR LIGHTER";"LIGHTER - CIGAR LIGHTER";"0R010901";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"ROLLING - BLUNT SHEET";"ROLLING - BLUNT SHEET";"0R010101";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"ROLLING GLUE";"ROLLING GLUE";"0R010801";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"ROLLING MACHINE";"ROLLING MACHINE";"0R010401";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"TOBACCO BOX - POUCH";"TOBACCO BOX - POUCH";"0R010A01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"TOBACCO HUMIDIFIER - AROMATISER";"TOBACCO HUMIDIFIER - AROMATISER";"0R010C01";"No";"Standard";
"ARTICLES FOR SMOKERS";"CIGARETTE ACCESSORIES";"TUBING MACHINE";"TUBING MACHINE";"0R010701";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"BATTERY FOR ELECTRONIC CIGARETTES";"BATTERY FOR ELECTRONIC CIGARETTES";"0R040601";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"CHARGER FOR ELECTRONIC CIGARETTES";"CHARGER FOR ELECTRONIC CIGARETTES";"0R040701";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"DISPOSABLE ELECTRONIC CIGARETTES";"DISPOSABLE ELECTRONIC CIGARETTES";"0R040301";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CHICHA";"ELECTRONIC CHICHA";"0R040D01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGAR - CIGARILLO";"ELECTRONIC CIGAR - CIGARILLO";"0R040501";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGARETTE";"ELECTRONIC CIGARETTES";"0R040101";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGARETTE HOLDER - LANYARD";"ELECTRONIC CIGARETTE HOLDER - LANYARD";"0R040C01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGARETTE REFILL";"ELECTRONIC CIGARETTE REFILL";"0R040201";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGARETTE SPRAYER - ATOMIZER";"ELECTRONIC CIGARETTE SPRAYER - ATOMIZER";"0R040901";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC CIGARETTES PACK";"ELECTRONIC CIGARETTES PACK";"0R040B01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ELECTRONIC PIPE";"ELECTRONIC PIPE";"0R040401";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"ENTRETIEN POUR CIGARETTE ELECTRONIQUE";"ENTRETIEN POUR CIGARETTE ELECTRONIQUE";"0R040E01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"LIQUID FOR ELECTRONIC CIGARETTES";"LIQUID FOR ELECTRONIC CIGARETTES";"0R040A01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"PIECE DETACHEE POUR CIGARETTE ELECTRONIQUE ";"PIECE DETACHEE POUR CIGARETTE ELECTRONIQUE ";"0R040F01";"No";"Standard";
"ARTICLES FOR SMOKERS";"ELECTRONIC CIGARETTES";"TRANSPORT CASE";"TRANSPORT CASE";"0R040801";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"PIPE";"PIPE";"0R030101";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"PIPE CLEANING - MAINTENANCE";"PIPE CLEANING - MAINTENANCE";"0R030601";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"PIPE FILTER";"PIPE FILTER";"0R030401";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"PIPE RACK";"PIPE RACK";"0R030301";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"PIPE STUFFER AND REAMER";"PIPE STUFFER AND REAMER";"0R030201";"No";"Standard";
"ARTICLES FOR SMOKERS";"PIPES";"TOBACCO POT";"TOBACCO POT";"0R030501";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"CARRYING CASE - SPRAY STORAGE";"CARRYING CASE - SPRAY STORAGE";"0R060501";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"LOUNGE SPRAY";"LOUNGE SPRAY";"0R060201";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"PEN SPRAY";"PEN SPRAY";"0R060301";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"PORTABLE SPRAY";"PORTABLE SPRAY";"0R060101";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"SPRAY ACCESSORY";"SPRAY ACCESSORY";"0R060601";"No";"Standard";
"ARTICLES FOR SMOKERS";"SPRAYS";"SPRAY PACK";"SPRAY PACK";"0R060401";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"BED DRAWER";"BED DRAWER";"0P010901";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"BED TENT";"BED TENT";"0P010101";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"CANOPY";"CANOPY";"0P010401";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"ECHELLE DE LIT";"ECHELLE DE LIT";"0P010A01";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"FEATHERBED";"FEATHERBED";"0P010701";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"FOOTBOARDS";"FOOTBOARDS";"0P010601";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"OFF MATTRESS";"OFF MATTRESS";"0P010201";"No";"Standard";
"BEDDING";"BEDDING ACCESSORIES";"SPARE PARTS BEDDING";"SPARE PARTS BEDDING";"0P010501";"No";"Standard";
"BEDDING";"ELEMENT FOR BED";"BED BASE";"BED BASE";"0P020401";"No";"Standard";
"BEDDING";"ELEMENT FOR BED";"MATTRESS";"MATTRESS";"0P020201";"No";"Standard";
"BEDDING";"ELEMENT FOR BED";"MATTRESS AND BED BASE SET";"MATTRESS AND BED BASE SET";"0P020301";"No";"Standard";
"BEDDING";"ELEMENT FOR BED";"TATAMI";"TATAMI";"0P020601";"No";"Standard";
"BEDDING";"EXTRA BED";"AIRBED";"AIRBED";"0P040101";"No";"Standard";
"BEDDING";"EXTRA BED";"FOLDING BED (EXCEPT FOR BABY BED)";"FOLDING BED (EXCEPT FOR BABY BED)";"0P040201";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";" BEE HUNTING - INSECT TRAP INSECT - CAP TRAP ";" BEE HUNTING - INSECT TRAP INSECT - CAP TRAP ";"05030701";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"BASKET - COMB - TRAP FOR HARVEST";"BASKET - COMB - TRAP FOR HARVEST";"05030A01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"BEE SMOKERS";"BEE SMOKERS";"05030101";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"BEEHIVE HANDLE - FIXED ELEMENTS";"BEEHIVE HANDLE - FIXED ELEMENTS";"05030501";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"FEEDERS";"FEEDERS";"05030801";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"FEEDING - SUGAR - SYRUP - ROCK CANDY";"FEEDING - SUGAR - SYRUP - ROCK CANDY";"05030B01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"FRAME TOOL";"FRAME TOOL";"05030401";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"FUEL";"FUEL";"05030301";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"GRID - HARVESTING MAT ";"GRID - HARVESTING MAT ";"05030901";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"MODERATOR - THYMOL - ACID";"MODERATOR - THYMOL - ACID";"05030C01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"NICOT EQUIPMENT SYSTEM (BLOCK SUPPORT - BLOCK CUP -QUEEN CAGE  - STRIP CUP)";"NICOT EQUIPMENT SYSTEM (BLOCK SUPPORT - BLOCK CUP -QUEEN CAGE  - STRIP CUP)";"05030F01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"REPLACEMENT BELLOWS FOR SMOKER";"REPLACEMENT BELLOWS FOR SMOKER";"05030201";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"SPUR FOR FRAME";"SPUR FOR FRAME";"05030E01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"STARTER PACK";"STARTER PACK";"05030G01";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"SWARM LURE";"SWARM LURE";"05030601";"No";"Standard";
"BEEKEEPING";"BEEKEEPER TOOLS";"WIRE -  WIRE COIL FOR FRAME";"WIRE -  WIRE COIL FOR FRAME";"05030D01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"COMPLETE HIVE";"COMPLETE HIVE";"05020A01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"COMPLETE SMALL HIVE";"COMPLETE SMALL HIVE";"05020701";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"FRAME COVERS ";"FRAME COVERS ";"05020501";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"FRAMES";"FRAMES";"05020101";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"FRAMES - FRAME SUPPORT";"FRAMES - FRAME SUPPORT";"05020801";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"HIVE BODY";"HIVE BODY";"05020201";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"HIVE BOTTOM BOARD ";"HIVE BOTTOM BOARD ";"05020D01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"HIVE ENTRANCE ";"HIVE ENTRANCE ";"05020E01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"HIVE OUTER FRAME";"HIVE OUTER FRAME";"05020401";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"HIVE STAND - FRAME STAND";"HIVE STAND - FRAME STAND";"05020C01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"INSULATION";"INSULATION";"05020601";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"QUEEN EXCLUDER";"QUEEN EXCLUDER";"05020901";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"RABBET - FRAME SPACER";"RABBET - FRAME SPACER";"05020F01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"SHADE";"SHADE";"05020B01";"No";"Standard";
"BEEKEEPING";"HIVE COMPONENTS";"SUPERS";"SUPERS";"05020301";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"DRYING BAG FOR CAPPING'S";"DRYING BAG FOR CAPPING'S";"05040801";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"EXTRACTORS";"EXTRACTORS";"05040301";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"GRID - BASKET FOR EXTRACTOR";"GRID - BASKET FOR EXTRACTOR";"05040601";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"HONEY SHOVEL - MELTER";"HONEY SHOVEL - MELTER";"05040701";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"RIPENERS";"RIPENERS";"05040401";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"SCREEN FOR RIPENERS";"SCREEN FOR RIPENERS";"05040501";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"UNCAPPING KNIVES ";"UNCAPPING KNIVES ";"05040101";"No";"Standard";
"BEEKEEPING";"HONEY FARM";"UNCAPPING TRAYS";"UNCAPPING TRAYS";"05040201";"No";"Standard";
"BEEKEEPING";"WORKING WAX";"EMBOSSED WAX";"EMBOSSED WAX";"05010101";"No";"Standard";
"BEEKEEPING";"WORKING WAX";"SOLAR WAX MELTER";"SOLAR WAX MELTER";"05010301";"No";"Standard";
"BEEKEEPING";"WORKING WAX";"WAX BOILER";"WAX BOILER";"05010201";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY ANIMATION - CARTOON ";"BLU-RAY ANIMATION - CARTOON ";"1H010101";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY DOCUMENTARY ";"BLU-RAY DOCUMENTARY ";"1H010201";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY FILM ";"BLU-RAY FILM ";"1H010301";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY INTERACTIVE - EDUCATIONAL ";"BLU-RAY INTERACTIVE - EDUCATIONAL ";"1H010401";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY MANGA - JAPANIMATION ";"BLU-RAY MANGA - JAPANIMATION ";"1H010501";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY MUSICAL";"BLU-RAY MUSICAL";"1H010601";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY THEATER - HUMOUR - SHOW";"BLU-RAY THEATER - HUMOUR - SHOW";"1H010801";"No";"Standard";
"BLU-RAY - DVD";"BLU-RAY";"BLU-RAY TV SERIES ";"BLU-RAY TV SERIES ";"1H010701";"No";"Standard";
"BLU-RAY - DVD";"DVD";"DVD ANIMATION - CARTOON ";"DVD ANIMATION - CARTOON ";"1H020101";"No";"Standard";
"BLU-RAY - DVD";"DVD";"DVD DOCUMENTARY ";"DVD DOCUMENTARY ";"1H020201";"No";"Standard";
"BLU-RAY - DVD";"DVD";"DVD FILM ";"DVD FILM ";"1H020301";"No";"Standard";
